original_filename,new_path,placement,visual_description,sha256
img_16.png,blender/showcase-world-shader-context.png,A5: switch to World shading,World context exposes Background and World Output. The environment image has not yet been connected.,799078b9e792f0c742aabb198c4ac44f190bcdb282808306da3080127382cf3a
img_17.png,blender/showcase-environment-node-connections.png,A5: connect the environment texture,"Connection reference: Environment Texture → Background → World Output, with strength 0.5. The captured node uses another sky image; load the supplied space-panorama.png.",65f82e432acf3eef614847067a652c991bf26604d0b9954d748d56c80636e27c
img_18.png,blender/showcase-planet-rocket-render.png,A5: render result,Example of the completed composition. This rehearsal render uses a different star image and arrangement; your render should show both assets against your chosen sky.,47868846c3eed5f92d24f169800841c97a16241a6382a8e3e677a325466fbfa7
img_19.png,blender/planet-existing-uv-map.png,A6: check the UV map,The UV Sphere already has a UVMap entry. This confirms that a UV map exists; it does not show the unwrap or the bake result.,412ad59ef67bbb974a1c5a1e32351f369057b406266ac846deca380853cf50fc
img_20.png,blender/planet-diffuse-color-only-bake.png,A6: configure the bake,Cycles bake settings: Diffuse with Color enabled and Direct/Indirect disabled. The capture uses CPU and a 16 px margin.,c8ad47618ce448fa05994bbb8458aa95d1aecfad3184004b0bae1ce1087466ae
img_21.png,blender/planet-save-baked-image-menu.png,A6: save the baked image,The baked colour image is visible in the Image Editor. Use Image → Save As to write your planet-basecolor.png file.,4f9e6dff10009a9aec55365152b15d98d3c2eb64d14b7ebb9d16cc34572e4067
img_22.png,blender/planet-baked-image-base-color.png,A6: switch to the baked image,"After baking, PlanetBaseColor supplies Base Color. The original procedural branch remains in the graph but is disconnected from the shader.",63443283269e0e877acb56f33b9e2902ca469528892baeeae25f876d27e416f0
img_23.png,blender/export-gltf-menu.png,A7: open the glTF exporter,Open the glTF 2.0 exporter here. Choose GLB and Selected Objects in the export dialog that opens next; those settings are not shown in this capture.,b55f73bca19363a678069aa37e6753b743b9485d07562130cea51816aaf0e0fe
img_24.png,godot/import-preview-baked-planet.png,A7: check the baked planet import,"Successful final planet import: the coloured surface pattern is visible. This is the baked asset, not the earlier unbaked comparison.",991926b1e2d3a3693dbc5ec24df056a451c590c3b7e22217782ef7154101dea7
img_25.png,godot/import-preview-textured-rocket.png,A7: check the rocket import,Successful rocket import: geometry and atlas colours are present. The imported rocket points along +Y; the wrapper scene will rotate its Visual child.,51803c059e90321ac171bb589fe84807cc6ed216c698de32d89c5bd635eb2df0
img_26.png,reference/godot-legacy-import-folders.png,Image notes: earlier folder layout,"Earlier import layout with an exports directory, duplicate test imports, and extracted images. Use the current assets/models and assets/sky paths in the walkthrough.",d542263636cf4bd32fa5457eae3285a0465aa4d354667049d7b2a7c5803dbfee
img_27.png,godot/window-viewport-size.png,B1: window settings,Set Viewport Width to 1280 and Viewport Height to 720. Stretch Mode is configured separately; it is not visible in this crop.,67c57d43f53927fe229443f07cf42ac93b5de066d0889b3b05f482b95cdce915
img_28.png,godot/environment-panorama-sky.png,B1: create the sky,Background Mode is Sky. The Sky resource contains a PanoramaSkyMaterial with the panorama assigned.,1ca9e2f488f5ee5d9a702f8155620f8e2648a742859ae1a4e9d36151d9ac92e7
img_29.png,godot/environment-ambient-light.png,B1: ambient light,Ambient Light uses Color as its source and energy 0.5. Enter the specified pale blue-gray in the colour field.,f9efd2fc4dc76f80d984d4c9e20f0e14bc355cf0b90c3b3cf4cf8d3d630cf9fe
img_30.png,godot/main-sky-and-status-preview.png,B1: run the empty game area,First Main-scene run: the sky and upper-left status label are visible. No planet or rocket has been instanced yet.,76f0c9daee8550027bd9d859b275b6e6e9650bf7aa7f8460b887e7c23686850b
img_31.png,godot/main-camera-environment-hud-tree.png,B1: completed game-area scene tree,"Scene-tree checkpoint after adding the camera, light, environment, and CanvasLayer/Status. Name the CanvasLayer HUD in your scene; the capture uses Hud.",c335e8543b77b77865a10ba8a00606d3437af91e4e61866aa98d7ecedae0a33b
img_32.png,godot/planet-sphere-collider-radius.png,B2: planet collider,Set Radius on the SphereShape3D resource to 2.0. Keep the collision node’s scale at one.,818cb559b3cd4e59eb91bac7c6310fb8460103817f2ba6911d19239dea298f91
img_33.png,godot/planet-collision-layer-mask.png,B2: planet collision filtering,Planet belongs to layer 1 and checks mask 2.,90d58ca665985d689d739b722f488799698be7aa77939f130c138148dd35de0d
img_34.png,godot/planet-wrapper-scene-tree.png,B2: planet scene hierarchy,The imported visual and collision shape are separate children of the Planet physical root.,cd56ddbdb318ac4aa85650feb8c03834eefa535677dbe6347f7c621073d2d9eb
img_35.png,godot/rocket-collision-layer-mask.png,B3: rocket collision filtering,"Rocket belongs to layer 2 and checks mask 1, matching the planet configuration.",cfbf00f531543667e2c7653fe4a975c595d3782097833fa670dd8b16b80c5011
img_36.png,godot/rocket-floating-motion-mode.png,B3: rocket motion mode,Set the Rocket CharacterBody3D to Floating. The workshop script supplies movement and central gravity.,09cad8524580cca087689c7ccfcbecda5f9742b2e0a542ec250b5d46d20318d9
img_37.png,godot/rocket-wrapper-orientation-preview.png,B3: rocket hierarchy and orientation,"The imported mesh is under Visual; CollisionShape3D is a separate child of Rocket. The coloured arcs are the transform gizmo, not a running-game collision overlay.",94d7967a679bc82694f2c183613751002162a32ca7c50655389fcfacd1e716ef
img_38.png,godot/main-planet-rocket-editor.png,B4: place the scene instances,Editor overview after instancing both models. Enter their numerical positions in the Inspector as specified above.,484cd0253be757c62acc97aa42daea376a0ae34bbdf7edcb9c6639900ce87569
img_39.png,godot/main-stationary-game-preview.png,B4: run Main before scripting,"Game-view checkpoint before adding orbit logic: both assets are visible, and the label still reads Orbit workshop.",d3bbfad044b627741b25125c4c343b5dbaa30dbc33c44a5c363dc2b660fd1fd5
img_40.png,godot/orbit-input-map.png,B5: input actions,The input actions map keyboard events to the names used by the script. Match their spelling exactly.,179e27b1d8722b5248712bf1c0f5463bea51fc1b8b7a73f94554b6f6feba4301
img_41.png,simulation/rocket-orbit-csharp-editor.png,C1: add RocketOrbit.cs,"RocketOrbit source with its exported references and experiment settings. Use the complete copy-paste listing below; this screenshot is a source-code overview, not a build-success check.",c0051282b6122069d43475011bfe645b47e92df0bad9ebec1d91c9a09a198cd8
img_42.png,simulation/rocket-planet-status-references.png,C1: wire scene references,The Rocket instance in Main has its Planet and Status references assigned.,ae7b8327f84c6e2bc02afab3fb83af6ba2e5dd45f884ec7ea49702f09c12ef0f
img_43.png,simulation/straight-line-gravity-thrust-disabled.png,C2: disable both accelerations,"Straight-line experiment settings: Use Gravity off, Allow Thrust off, Mu 96, and Substeps 4.",42aef258fd6a8a266993a28a5302f912210728e27ad9ef01d6239cf58688e0c1
img_44.png,simulation/placement-initial-velocity-hud.png,C2: inspect the initial state,"Before launch: PLACE state, radius 6, speed 4, and velocity (0, 0, -4), with gravity and thrust disabled. This is the placement screen, not a flight result.",dda09b5ce5b45e88795ececadc97fa4dfe581e7a9957611ba6c5e72ddca90709
img_45.png,simulation/gravity-only-settings.png,C3: enable central gravity,Gravity-only experiment: Use Gravity on and Allow Thrust off.,5679f0c869c288f306f579d4c952484694cdc24a50414ee304bf55dcbb4f7eae
img_46.png,simulation/gravity-and-thrust-enabled.png,C4: enable rocket control,Enable Allow Thrust for the interactive controls experiment while keeping gravity enabled.,10ba6933365f5d816fba3ba844cf14e16ec44dd5608f9cdee4cd38f21824699b
img_47.png,simulation/collision-stopped-hud.png,C5: stop on collision,"COLLISION state: speed and velocity are zero, and the centre distance is approximately 2.65. The screenshot shows the stopping condition, without collision overlays.",35975f042fc5bd88037752266c0573d798dca73af6c6562860b2e991bb9303e4
img_48.png,simulation/flight-with-thrust-controls-enabled.png,C4: observe flight and control state,Flight with gravity and thrust controls enabled. “Thrust enabled: True” means W is permitted to apply acceleration; it does not show whether W is currently held.,26689bb2c49fd1e3f25e547cecd69e2591954771c0d18fe20684c4df00b7ea85
img_49.png,simulation/trail-rocket-reference.png,Optional trajectory: wire OrbitTrail,"OrbitTrail has its Rocket reference assigned, while Mesh is still empty because the script creates it at runtime. Rename the MeshInstance3D node Trail in your scene.",96ebd6aa09620fa4b7cec844fc3f5bdbe8c0d9e4c29694c48a6679d2cafb67f3
img_50.png,simulation/trajectory-history-game-preview.png,Optional trajectory: running result,The line records positions already visited. This example includes a changing trajectory with thrust controls enabled; it is not an analytic orbit prediction or a fixed-speed reference result.,f4b8329826b24e8ea2c869b3dde5e6cb6e8d216d952cb61bc4c42723ae1e2f0a
planet-material-overview.svg,diagrams/planet-factor-material-flow.svg,A2: connect the material graph,"Wiring reference for this recipe: Generated coordinates → Noise Factor → Color Ramp → Principled Base Color → Material Output. This is a diagram, not a screenshot.",05ba33089056a2896cf7dd7f84bd8285850cf464f640694bcd22a2950d2aa191
three-fin-array.svg,diagrams/rocket-three-fin-array.svg,A3: radial fin array,Array diagram: the original fin and two copies are spaced by 120°. The fin origin and FinRotation Empty share the rocket centre.,8dcc9a97d32a54d54a61ea88c825a198195017c9c397eb592d233ae94b198e1d
img_12.png,blender/rocket-untextured-fins.png,Duplicate removed,Byte-identical to img_11.png,329744c719247ccaa2480350af8019e91686813845e70def63b5b7b8ea9320a2
